time,a_x,a_y,a_z,g_x,g_y,g_z,temp
2021-01-31T16:27:01.632108271Z,-0.360120,-1.604388,9.657433,1623.125000,-2498.125000,966.875000,9.437500
2021-01-31T16:27:01.648281696Z,-0.086142,-1.530210,10.194620,1583.750000,-2856.875000,1010.625000,9.437500
2021-01-31T16:27:01.664363039Z,-0.294317,-1.639083,10.214959,1675.625000,-1583.750000,1054.375000,9.437500
2021-01-31T16:27:01.680547556Z,-0.319442,-1.607977,9.998409,1395.625000,-2804.375000,988.750000,9.500000
2021-01-31T16:27:01.696744209Z,-0.350549,-1.786242,10.068997,1793.750000,-485.625000,1080.625000,9.500000
2021-01-31T16:27:01.712824302Z,-0.415155,-1.612763,9.957731,1898.750000,-2156.875000,1225.000000,9.500000
2021-01-31T16:27:01.728904500Z,-0.208176,-1.844866,10.466206,2196.250000,-2922.500000,1286.250000,9.437500
2021-01-31T16:27:01.744888658Z,-0.329013,-1.671387,9.820145,2003.750000,-315.000000,1277.500000,9.437500
2021-01-31T16:27:01.760848649Z,-0.303888,-1.740778,10.345367,1933.750000,-2563.750000,1347.500000,9.437500
2021-01-31T16:27:01.776809995Z,-0.300299,-1.648655,9.653843,2213.750000,-1715.000000,1443.750000,9.437500
2021-01-31T16:27:01.792771810Z,-0.283549,-1.733600,9.833304,1933.750000,-2091.250000,1483.125000,9.437500
2021-01-31T16:27:01.808733364Z,-0.226122,-1.808974,9.665807,1776.250000,-1925.000000,1430.625000,9.437500
2021-01-31T16:27:01.824692210Z,-0.343370,-1.773082,9.734003,1736.875000,-1806.875000,1531.250000,9.437500
2021-01-31T16:27:01.840650327Z,-0.369691,-1.649851,9.976874,1750.000000,-1876.875000,1601.250000,9.500000
2021-01-31T16:27:01.856611777Z,-0.425922,-1.546960,9.839286,1837.500000,-1391.250000,1531.250000,9.500000
2021-01-31T16:27:01.872570154Z,-0.459422,-1.672583,9.844072,1907.500000,-2209.375000,1601.250000,9.437500
2021-01-31T16:27:01.888530667Z,-0.373280,-1.641476,9.419346,1881.250000,-665.000000,1610.000000,9.437500
2021-01-31T16:27:01.904489825Z,-0.147159,-1.813759,9.897911,2183.125000,-2625.000000,1732.500000,9.437500
2021-01-31T16:27:01.920451432Z,-0.346959,-1.694118,9.595219,2117.500000,-783.125000,1719.375000,9.500000
2021-01-31T16:27:01.936416319Z,-0.202193,-1.831706,10.000802,1732.500000,-1824.375000,1666.875000,9.500000
2021-01-31T16:27:01.952379592Z,-0.183051,-1.829313,10.632507,2279.375000,-1693.125000,1754.375000,9.375000
2021-01-31T16:27:01.968349896Z,-0.344566,-1.968097,10.090532,1968.750000,-1211.875000,1671.250000,9.437500
2021-01-31T16:27:01.984309315Z,-0.279960,-1.858027,10.256834,1798.125000,-2454.375000,1750.000000,9.500000
2021-01-31T16:27:02.000268265Z,-0.224925,-1.902294,9.970891,2165.625000,-721.875000,1793.750000,9.500000
2021-01-31T16:27:02.016253569Z,-0.220140,-1.853241,10.122837,2130.625000,-2883.125000,1811.250000,9.500000
2021-01-31T16:27:02.032212519Z,-0.234497,-1.798206,10.167104,1903.125000,-1535.625000,1837.500000,9.500000
2021-01-31T16:27:02.048173864Z,-0.442672,-1.617548,10.225728,2261.875000,-2021.250000,1955.625000,9.500000
2021-01-31T16:27:02.064154272Z,-0.206979,-1.953740,9.987641,1579.375000,-2349.375000,1850.625000,9.500000
2021-01-31T16:27:02.080115982Z,-0.253639,-2.170290,9.907482,1627.500000,-857.500000,1951.250000,9.500000
2021-01-31T16:27:02.096076338Z,-0.175872,-2.002793,9.821341,1553.125000,-1076.250000,1907.500000,9.500000
2021-01-31T16:27:02.112035287Z,-0.145962,-1.783849,10.238889,1535.625000,-1933.750000,1925.000000,9.500000
2021-01-31T16:27:02.128041892Z,-0.301496,-1.660619,9.985250,1491.875000,-1194.375000,1995.000000,9.500000
2021-01-31T16:27:02.144087298Z,-0.033500,-1.812563,10.182656,1701.875000,-2419.375000,2108.750000,9.500000
2021-01-31T16:27:02.160119007Z,-0.269193,-1.984846,10.526026,1596.875000,-708.750000,2021.250000,9.562500
2021-01-31T16:27:02.176103372Z,-0.210568,-1.654637,9.738789,1688.750000,-1321.250000,2209.375000,9.500000
2021-01-31T16:27:02.192063989Z,-0.327817,-1.657030,10.250853,2078.125000,-2843.750000,2349.375000,9.500000
2021-01-31T16:27:02.208025074Z,-0.193819,-2.003989,9.601200,1736.875000,-560.000000,2336.250000,9.500000
2021-01-31T16:27:02.223990690Z,-0.210568,-1.897508,10.272388,1964.375000,-3351.250000,2380.000000,9.500000
2021-01-31T16:27:02.239952765Z,-0.269193,-1.932204,10.072588,1688.750000,-1163.750000,2410.625000,9.500000
2021-01-31T16:27:02.256046867Z,-0.234497,-1.869991,10.291530,1785.000000,-1260.000000,2467.500000,9.500000
2021-01-31T16:27:02.272007692Z,-0.062213,-2.026721,10.083356,1496.250000,-1916.250000,2415.000000,9.500000
2021-01-31T16:27:02.287968777Z,-0.317049,-1.984846,9.974482,1592.500000,144.375000,2559.375000,9.562500
2021-01-31T16:27:02.303941320Z,-0.107677,-1.915455,10.315458,1395.625000,-2533.125000,2384.375000,9.562500
2021-01-31T16:27:02.319901259Z,0.014357,-1.908276,10.407581,1946.875000,-1050.000000,2397.500000,9.437500
2021-01-31T16:27:02.335861824Z,-0.399601,-1.999203,10.186246,1833.125000,-1456.875000,2524.375000,9.500000
2021-01-31T16:27:02.351825982Z,0.026321,-1.848456,10.331012,2161.250000,-2808.750000,2585.625000,9.500000
2021-01-31T16:27:02.367790869Z,-0.214158,-2.135594,10.302298,1242.500000,-1373.750000,2620.625000,9.500000
2021-01-31T16:27:02.383755183Z,-0.023928,-1.948954,9.597611,1636.250000,-1268.750000,2445.625000,9.500000
2021-01-31T16:27:02.399718247Z,-0.163908,-2.140380,10.475778,2117.500000,-1995.000000,2489.375000,9.500000
2021-01-31T16:27:02.415729123Z,-0.289532,-2.142773,9.787841,2012.500000,-240.625000,2406.250000,9.500000
2021-01-31T16:27:02.431719582Z,-0.387637,-1.862812,10.039087,1820.000000,-1124.375000,2380.000000,9.562500
2021-01-31T16:27:02.447715093Z,0.209372,-2.006382,9.396614,1789.375000,-3303.125000,2515.625000,9.437500
2021-01-31T16:27:02.463765864Z,-0.232104,-1.850848,9.535398,1483.125000,-835.625000,2511.250000,9.437500
2021-01-31T16:27:02.479762208Z,-0.949951,-1.277767,10.898110,2340.625000,-831.250000,2261.875000,9.437500
2021-01-31T16:27:02.495759438Z,-0.069392,-1.683351,10.457830,1570.625000,-3902.500000,3355.625000,9.562500
2021-01-31T16:27:02.511753387Z,0.356531,-2.216950,9.080762,1163.750000,-2786.875000,2528.750000,9.500000
2021-01-31T16:27:02.527782231Z,-0.217747,-1.786242,9.708879,2695.000000,-2257.500000,2585.625000,9.437500
2021-01-31T16:27:02.543792013Z,-0.011964,-1.892723,9.969695,1303.750000,-4904.375000,2323.125000,9.500000
2021-01-31T16:27:02.559785597Z,-0.178265,-1.624727,9.705289,1343.125000,-1990.625000,2257.500000,9.500000
2021-01-31T16:27:02.575780692Z,-0.437887,-1.548156,9.714860,2410.625000,-1736.875000,2353.750000,9.437500
2021-01-31T16:27:02.591774797Z,-0.285942,-1.775474,10.109675,1964.375000,-4388.125000,2314.375000,9.437500
2021-01-31T16:27:02.607788121Z,-0.096909,-1.946561,9.291330,1995.000000,-1872.500000,2336.250000,9.500000
2021-01-31T16:27:02.623794830Z,-0.114855,-2.036292,10.153944,2865.625000,-3666.250000,2445.625000,9.500000
2021-01-31T16:27:02.639878203Z,-0.062213,-2.039881,9.888339,2502.500000,-1553.125000,2380.000000,9.500000
2021-01-31T16:27:02.656077252Z,-0.233300,-2.135594,9.778270,2113.125000,-1859.375000,2240.000000,9.500000
2021-01-31T16:27:02.672113127Z,-0.007178,-2.061417,10.643275,2896.250000,-4401.250000,2401.875000,9.500000
2021-01-31T16:27:02.688112596Z,0.021535,-2.008775,10.149158,2865.625000,-3093.125000,2371.250000,9.500000
2021-01-31T16:27:02.704111128Z,-0.083749,-2.438286,10.378868,2091.250000,-3823.750000,2275.000000,9.500000
2021-01-31T16:27:02.720108619Z,-0.759721,-2.017149,8.816355,2130.625000,647.500000,2069.375000,9.500000
2021-01-31T16:27:02.736144285Z,0.457029,-2.416751,9.389436,1610.000000,-6186.250000,2288.125000,9.562500
2021-01-31T16:27:02.752140526Z,0.009571,-1.958525,11.107484,2940.000000,-1701.875000,2432.500000,9.562500
2021-01-31T16:27:02.768137860Z,-0.535992,-1.852045,8.542377,1614.375000,336.875000,2240.000000,9.500000
2021-01-31T16:27:02.784130194Z,-0.155533,-2.426322,10.108479,210.000000,-7691.250000,2283.750000,9.500000
2021-01-31T16:27:02.800124508Z,-0.095713,-1.671387,9.958927,2638.125000,240.625000,2406.250000,9.500000
2021-01-31T16:27:02.816119186Z,-0.655633,-1.613959,8.776874,993.125000,-4099.375000,2187.500000,9.500000
2021-01-31T16:27:02.832113291Z,-0.229711,-1.992025,10.430314,1583.750000,-5298.125000,2388.750000,9.500000
2021-01-31T16:27:02.848111459Z,-0.321835,-1.890330,9.165708,2353.750000,800.625000,2353.750000,9.500000
2021-01-31T16:27:02.864253789Z,-0.209372,-2.361716,10.344172,1295.000000,-4843.125000,2349.375000,9.562500
2021-01-31T16:27:02.880253415Z,-0.284746,-2.145165,9.765109,1535.625000,-406.875000,2406.250000,9.500000
2021-01-31T16:27:02.896252624Z,-0.227318,-2.263610,9.696914,1583.750000,-2305.625000,2528.750000,9.562500
2021-01-31T16:27:02.912245375Z,-0.038285,-1.802992,10.195816,1260.000000,-2975.000000,2401.875000,9.437500
2021-01-31T16:27:02.928246147Z,-0.247657,-1.774278,9.936196,1890.000000,306.250000,2471.875000,9.562500
2021-01-31T16:27:02.944248950Z,-0.513260,-1.761117,10.601401,2108.750000,-2808.750000,2546.250000,9.562500
2021-01-31T16:27:02.960241024Z,-0.332602,-2.212165,10.159925,1605.625000,590.625000,2559.375000,9.500000
2021-01-31T16:27:02.976238775Z,0.290728,-2.513660,9.862019,1741.250000,-1863.750000,2537.500000,9.562500
2021-01-31T16:27:02.992234026Z,-0.142373,-1.942972,10.630114,2012.500000,2533.125000,2288.125000,9.562500
2021-01-31T16:27:03.008232297Z,-0.587438,-2.335395,10.249657,1693.125000,0.000000,2467.500000,9.562500
2021-01-31T16:27:03.024226663Z,0.302692,-2.242075,10.037891,1461.250000,-2988.125000,2524.375000,9.562500
2021-01-31T16:27:03.040220611Z,0.026321,-2.043471,9.172886,1960.000000,1881.250000,2380.000000,9.562500
2021-01-31T16:27:03.056214039Z,-0.171087,-2.106880,10.619347,2480.625000,-3710.000000,2638.125000,9.500000
2021-01-31T16:27:03.072209654Z,0.063410,-2.285146,10.502099,1828.750000,-367.500000,2436.875000,9.500000
2021-01-31T16:27:03.088205165Z,-0.206979,-2.137987,10.254441,2095.625000,-1890.000000,2660.000000,9.500000
2021-01-31T16:27:03.104209061Z,-0.135194,-2.098505,9.804591,1872.500000,-1251.250000,2467.500000,9.500000
2021-01-31T16:27:03.120199780Z,0.020339,-2.304288,10.543973,1728.125000,-1513.750000,2410.625000,9.562500
2021-01-31T16:27:03.136225551Z,-0.087338,-2.188236,9.981659,1723.750000,-332.500000,2340.625000,9.562500
2021-01-31T16:27:03.152275800Z,-0.055035,-2.200201,10.798808,1763.125000,-2117.500000,2498.125000,9.562500
2021-01-31T16:27:03.168352715Z,-0.199801,-2.135594,10.492528,1675.625000,-376.250000,2594.375000,9.562500
2021-01-31T16:27:03.184576293Z,-0.362513,-2.042274,9.990034,1456.875000,-1684.375000,2471.875000,9.562500
2021-01-31T16:27:03.200632115Z,0.059821,-1.933401,10.460224,1706.250000,-2428.125000,2743.125000,9.500000
2021-01-31T16:27:03.216633147Z,-0.202193,-1.724029,10.243673,2358.125000,1023.750000,2502.500000,9.562500
2021-01-31T16:27:03.232630325Z,-0.294317,-2.256432,10.447062,1828.750000,-2576.875000,2651.250000,9.562500
2021-01-31T16:27:03.248596201Z,-0.306281,-2.254039,9.884750,2699.375000,336.875000,2660.000000,9.500000
2021-01-31T16:27:03.264574472Z,0.665205,-2.405983,10.797612,2603.125000,-3228.750000,2948.750000,9.500000
2021-01-31T16:27:03.280534099Z,-0.256032,-2.634498,11.706885,2716.875000,-48.125000,2594.375000,9.562500
2021-01-31T16:27:03.296498985Z,-0.290728,-1.925026,8.331808,2222.500000,1496.250000,2406.250000,9.562500
2021-01-31T16:27:03.312461320Z,-0.114855,-2.333002,9.426525,2100.000000,-7450.625000,2594.375000,9.562500
2021-01-31T16:27:03.328421884Z,0.169890,-1.999203,10.051051,3014.375000,2209.375000,2594.375000,9.500000
2021-01-31T16:27:03.344382916Z,-0.276371,-2.230111,8.983852,1570.625000,-4926.250000,2432.500000,9.562500
2021-01-31T16:27:03.360345407Z,-0.100499,-2.275574,10.153944,2283.750000,-3788.750000,2559.375000,9.562500
2021-01-31T16:27:03.376306856Z,-0.250050,-2.219343,9.182457,2375.625000,848.750000,2541.875000,9.562500
2021-01-31T16:27:03.392264295Z,-0.056231,-2.410769,10.628918,1806.875000,-5560.625000,2616.250000,9.562500
2021-01-31T16:27:03.408226369Z,-0.171087,-1.757528,9.245867,2270.625000,179.375000,2655.625000,9.500000
2021-01-31T16:27:03.424189433Z,-0.211765,-1.929811,10.107283,2261.875000,-4274.375000,2673.125000,9.500000
2021-01-31T16:27:03.440150049Z,-0.157926,-1.998007,10.108479,2638.125000,-2016.875000,2646.875000,9.562500
2021-01-31T16:27:03.456110405Z,-0.197408,-2.143969,9.775877,2410.625000,-1938.125000,2655.625000,9.562500
2021-01-31T16:27:03.472073729Z,-0.086142,-2.283949,9.783055,2310.000000,-2918.125000,2598.750000,9.562500
2021-01-31T16:27:03.488147831Z,-0.059821,-2.173879,9.870394,2660.000000,-1150.625000,2607.500000,9.562500
2021-01-31T16:27:03.504108552Z,-0.003589,-2.190629,10.057034,2082.500000,-3618.125000,2629.375000,9.625000
2021-01-31T16:27:03.520068282Z,-0.153141,-2.155933,9.802197,2520.000000,-590.625000,2585.625000,9.562500
2021-01-31T16:27:03.536041710Z,-0.143569,-2.337788,10.046266,2030.000000,-2340.625000,2555.000000,9.562500
2021-01-31T16:27:03.552001753Z,-0.128016,-2.380858,10.004392,2261.875000,-2581.250000,2603.125000,9.562500
2021-01-31T16:27:03.567962681Z,-0.155533,-2.310270,9.795020,1938.125000,-1233.750000,2625.000000,9.562500
2021-01-31T16:27:03.583941422Z,0.064606,-2.085345,10.141978,2086.875000,-4081.875000,2651.250000,9.562500
2021-01-31T16:27:03.599901048Z,-0.284746,-2.062613,10.174281,2310.000000,-367.500000,2686.250000,9.562500
2021-01-31T16:27:03.615860675Z,-0.251246,-2.008775,9.869196,1973.125000,-2323.125000,2546.250000,9.500000
2021-01-31T16:27:03.631882539Z,-0.273978,-2.154737,10.313066,2301.250000,-1544.375000,2611.875000,9.562500
2021-01-31T16:27:03.647933361Z,-0.305085,-1.929811,9.885946,2371.250000,-1448.125000,2699.375000,9.562500
2021-01-31T16:27:03.663912727Z,-0.174676,-2.139183,9.936196,1251.250000,-3513.125000,2826.250000,9.562500
2021-01-31T16:27:03.679874957Z,-0.323031,-1.948954,9.541381,2148.125000,420.000000,2651.250000,9.562500
2021-01-31T16:27:03.695869478Z,-0.281157,-1.976472,10.121639,2270.625000,-3403.750000,2730.000000,9.562500
2021-01-31T16:27:03.711833532Z,-0.216550,-2.439482,9.617950,2485.000000,-1233.750000,2765.000000,9.562500
2021-01-31T16:27:03.727792481Z,-0.439083,-2.249253,9.670593,1995.000000,-1115.625000,2839.375000,9.625000
2021-01-31T16:27:03.743752368Z,0.009571,-2.493321,9.818949,2161.250000,-1868.125000,2826.250000,9.562500
2021-01-31T16:27:03.759712411Z,-0.391227,-1.960918,9.511470,2078.125000,-144.375000,2756.250000,9.562500
2021-01-31T16:27:03.775672870Z,-0.346959,-2.307878,9.239884,1421.875000,-2660.000000,2629.375000,9.562500
2021-01-31T16:27:03.791634996Z,-0.253639,-2.039881,10.019944,1671.250000,-1811.250000,2629.375000,9.562500
2021-01-31T16:27:03.807596862Z,-0.608973,-1.896312,9.738789,1386.875000,-1802.500000,2559.375000,9.687500
2021-01-31T16:27:03.823560134Z,-0.007178,-2.102095,10.344172,1470.000000,-3307.500000,2563.750000,9.625000
2021-01-31T16:27:03.839520698Z,-0.459422,-1.663012,10.260423,2218.125000,-1194.375000,2625.000000,9.625000
2021-01-31T16:27:03.855481627Z,-0.526421,-2.159522,10.297512,1732.500000,-1750.000000,2603.125000,9.625000
2021-01-31T16:27:03.871445211Z,-0.312263,-1.940579,10.551151,2380.000000,-1706.250000,2646.875000,9.562500
2021-01-31T16:27:03.887404421Z,-0.445065,-2.002793,10.398011,2620.625000,-1802.500000,2712.500000,9.562500
2021-01-31T16:27:03.903364151Z,-0.293121,-2.421536,10.244871,2515.625000,-1715.000000,2660.000000,9.625000
2021-01-31T16:27:03.919324403Z,-0.362513,-2.331805,10.220942,2611.875000,-1290.625000,2769.375000,9.562500
2021-01-31T16:27:03.935292622Z,-0.198604,-2.389233,10.250853,2651.250000,-1833.125000,2918.125000,9.625000
2021-01-31T16:27:03.951266103Z,-0.320638,-2.392823,9.760324,2388.750000,-389.375000,2730.000000,9.562500
