time,a_x,a_z,a_y,g_x
2021-01-31T16:27:01.632108271Z,-0.36012,9.657433,-1.604388,1623.125
2021-01-31T16:27:01.648281696Z,-0.086142,10.19462,-1.53021,1583.75
2021-01-31T16:27:01.664363039Z,-0.294317,10.214959,-1.639083,1675.625
2021-01-31T16:27:01.680547556Z,-0.319442,9.998409,-1.607977,1395.625
2021-01-31T16:27:01.696744209Z,-0.350549,10.068997,-1.786242,1793.75
2021-01-31T16:27:01.712824302Z,-0.415155,9.957731,-1.612763,1898.75
2021-01-31T16:27:01.728904500Z,-0.208176,10.466206,-1.844866,2196.25
2021-01-31T16:27:01.744888658Z,-0.329013,9.820145,-1.671387,2003.75
2021-01-31T16:27:01.760848649Z,-0.303888,10.345367,-1.740778,1933.75
2021-01-31T16:27:01.776809995Z,-0.300299,9.653843,-1.648655,2213.75
2021-01-31T16:27:01.792771810Z,-0.283549,9.833304,-1.7336,1933.75
2021-01-31T16:27:01.808733364Z,-0.226122,9.665807,-1.808974,1776.25
2021-01-31T16:27:01.824692210Z,-0.34337,9.734003,-1.773082,1736.875
2021-01-31T16:27:01.840650327Z,-0.369691,9.976874,-1.649851,1750
2021-01-31T16:27:01.856611777Z,-0.425922,9.839286,-1.54696,1837.5
2021-01-31T16:27:01.872570154Z,-0.459422,9.844072,-1.672583,1907.5
2021-01-31T16:27:01.888530667Z,-0.37328,9.419346,-1.641476,1881.25
2021-01-31T16:27:01.904489825Z,-0.147159,9.897911,-1.813759,2183.125
2021-01-31T16:27:01.920451432Z,-0.346959,9.595219,-1.694118,2117.5
2021-01-31T16:27:01.936416319Z,-0.202193,10.000802,-1.831706,1732.5
2021-01-31T16:27:01.952379592Z,-0.183051,10.632507,-1.829313,2279.375
2021-01-31T16:27:01.968349896Z,-0.344566,10.090532,-1.968097,1968.75
2021-01-31T16:27:01.984309315Z,-0.27996,10.256834,-1.858027,1798.125
2021-01-31T16:27:02.000268265Z,-0.224925,9.970891,-1.902294,2165.625
2021-01-31T16:27:02.016253569Z,-0.22014,10.122837,-1.853241,2130.625
2021-01-31T16:27:02.032212519Z,-0.234497,10.167104,-1.798206,1903.125
2021-01-31T16:27:02.048173864Z,-0.442672,10.225728,-1.617548,2261.875
2021-01-31T16:27:02.064154272Z,-0.206979,9.987641,-1.95374,1579.375
2021-01-31T16:27:02.080115982Z,-0.253639,9.907482,-2.17029,1627.5
2021-01-31T16:27:02.096076338Z,-0.175872,9.821341,-2.002793,1553.125
2021-01-31T16:27:02.112035287Z,-0.145962,10.238889,-1.783849,1535.625
2021-01-31T16:27:02.128041892Z,-0.301496,9.98525,-1.660619,1491.875
2021-01-31T16:27:02.144087298Z,-0.0335,10.182656,-1.812563,1701.875
2021-01-31T16:27:02.160119007Z,-0.269193,10.526026,-1.984846,1596.875
2021-01-31T16:27:02.176103372Z,-0.210568,9.738789,-1.654637,1688.75
2021-01-31T16:27:02.192063989Z,-0.327817,10.250853,-1.65703,2078.125
2021-01-31T16:27:02.208025074Z,-0.193819,9.6012,-2.003989,1736.875
2021-01-31T16:27:02.223990690Z,-0.210568,10.272388,-1.897508,1964.375
2021-01-31T16:27:02.239952765Z,-0.269193,10.072588,-1.932204,1688.75
2021-01-31T16:27:02.256046867Z,-0.234497,10.29153,-1.869991,1785
2021-01-31T16:27:02.272007692Z,-0.062213,10.083356,-2.026721,1496.25
2021-01-31T16:27:02.287968777Z,-0.317049,9.974482,-1.984846,1592.5
2021-01-31T16:27:02.303941320Z,-0.107677,10.315458,-1.915455,1395.625
2021-01-31T16:27:02.319901259Z,0.014357,10.407581,-1.908276,1946.875
2021-01-31T16:27:02.335861824Z,-0.399601,10.186246,-1.999203,1833.125
